state,date,critical_staffing_shortage_today_yes,inpatient_beds,inpatient_beds_used,previous_day_admission_adult_covid_confirmed,previous_day_admission_pediatric_covid_confirmed,staffed_icu_adult_patients_confirmed_covid,total_adult_patients_hospitalized_confirmed_covid,total_pediatric_patients_hospitalized_confirmed_covid,inpatient_beds_utilization_numerator,inpatient_beds_utilization_denominator,deaths_covid
KY,2020/05/29,1,"12,033","7,206",,,,,,"7,206","11,805",5
CA,2020/05/07,1,"67,958","38,822",,,,257,,"38,460","66,634",154
VI,2022/02/08,1,168,105,1,0,4,14,0,105,168,
TX,2021/08/22,1,"67,042","52,533","1,682",37,"3,662","13,298",234,"52,533","67,042",199
FL,2021/06/30,1,"58,953","46,273",302,5,433,"1,823",19,"46,273","58,953",22
PR,2021/04/12,1,"9,448","5,604",18,2,59,357,19,"5,604","9,448",65
HI,2020/09/14,1,"1,731","1,886",22,0,48,206,1,"1,299","1,731",1
ME,2022/02/03,1,"3,227","2,426",48,0,92,379,16,"2,426","3,227",2
MO,2020/10/01,1,"20,678","14,031",132,2,357,951,16,"13,968","20,678",8
RI,2021/06/01,1,"2,494","2,231",4,1,11,54,2,"2,231","2,494",2
MD,2020/04/01,1,"3,029","1,763",,,,,,"1,763","3,029",1
WA,2020/07/11,1,"12,366","7,742",,,,,,"7,742","12,235",4
ME,2021/12/15,1,"3,351","2,397",40,1,125,394,4,"2,397","3,351",5
NY,2020/05/29,1,"35,214","23,285",0,0,0,5,0,"23,285","34,359","2,180"
AS,2021/09/18,1,150,66,0,0,0,0,0,66,150,0
NM,2020/12/09,1,"4,188","3,042",119,0,204,737,4,"3,042","4,145",22
IN,2020/06/12,1,"15,117","9,264",,,,,,"9,264","14,732",4
ME,2021/04/11,1,"3,304","2,212",13,0,41,89,1,"2,212","3,304",0
OR,2021/03/28,1,"6,944","4,783",20,3,32,132,3,"4,783","6,944",4
IN,2020/03/04,1,55,14,,,,,,14,55,0
SD,2020/08/31,1,"2,347","1,358",15,0,20,57,23,"1,344","2,347",0
VA,2021/05/26,1,"18,266","13,777",45,1,121,405,4,"13,777","18,266",2
MO,2020/07/09,1,"20,984","12,702",,,,,,"12,702","20,689",7
CT,2021/04/30,1,"8,428","6,913",64,0,100,360,2,"6,913","8,428",6
ND,2022/01/31,1,"1,960","1,548",39,2,56,285,12,"1,548","1,960",1
OR,2020/08/10,1,"4,083","3,688",17,0,32,136,1,"2,801","4,083",478
MI,2020/11/18,1,"23,472","18,817",479,3,760,"3,430",15,"18,817","23,472",54
GA,2020/11/30,1,"20,742","15,739",371,2,615,"2,267",16,"15,739","20,742",26
MS,2020/06/14,1,"6,452","4,132",0,0,0,1,0,"4,132","6,310",4
IL,2020/03/10,1,60,24,,,,,,24,60,0
VI,2020/11/30,1,168,92,0,0,2,2,0,92,168,0
KS,2021/09/09,1,"8,544","5,575",98,3,224,686,12,"5,575","8,544",7
HI,2021/05/14,1,"2,637","1,858",2,0,9,46,3,"1,858","2,637",2
IA,2020/11/05,1,"8,267","5,550",167,4,190,904,9,"5,550","8,267",7
TN,2021/06/18,1,"20,093","13,468",20,1,89,245,4,"13,468","19,522",3
MT,2020/04/07,1,"1,033",435,,,,,,435,950,0
NJ,2020/03/25,1,438,,,,,,,,,
HI,2021/12/25,1,"2,592","1,738",11,0,12,69,0,"1,738","2,592",0
LA,2021/12/30,1,"12,537","9,081",156,6,148,892,36,"9,081","12,537",3
NH,2021/07/09,1,"3,136","2,300",6,0,6,18,0,"2,300","3,136",0
AK,2021/06/21,1,"1,441",900,1,0,5,11,0,900,"1,441",0
MT,2020/02/21,1,36,19,,,,,,19,36,0
DC,2020/08/26,1,"3,482","2,771",9,0,29,102,2,"2,771","3,482",0
AK,2021/08/26,1,"1,641","1,146",32,1,37,144,2,"1,146","1,641",1
WI,2020/10/05,1,"13,161","8,044",170,0,222,832,2,"8,044","13,161",57
MA,2021/12/08,1,"18,011","15,815",191,0,259,990,17,"15,815","18,011",16
WV,2021/08/21,1,"6,381","4,751",62,1,161,479,17,"4,751","6,381",4
NC,2022/01/04,1,"21,582","17,225",459,8,649,"2,963",62,"17,225","21,582",34
VA,2021/09/13,1,"17,709","13,152",179,17,497,"1,861",15,"13,152","17,709",30
NJ,2021/10/20,1,"24,602","17,748",96,1,186,822,3,"17,748","24,602",15
NC,2020/07/10,1,"27,497","20,317",,,,,,"20,317","27,118",5
